w1,w2,w3,l1,l2,l3,ibias
22.0,42.0,4.5,1.0,1.0,0.5,2e-05
23.0,43.0,38.0,1.0,2.0,1.5,2e-05
31.0,17.5,35.5,1.5,1.5,0.5,5e-06
15.0,27.0,30.5,1.5,1.5,2.0,5e-06
4.5,7.0,28.5,1.5,2.0,1.0,1.5e-05
14.5,25.5,21.5,2.0,1.0,1.0,1e-05
19.5,32.0,31.5,1.5,0.5,1.0,1.5e-05
20.5,23.0,31.0,1.0,1.5,1.5,1e-05
24.5,30.5,29.0,1.0,1.0,0.5,5e-06
4.5,39.5,36.0,0.5,1.0,1.5,5e-06
29.0,20.5,25.0,1.0,1.5,2.0,1.5e-05
15.5,44.5,23.0,2.0,1.5,1.5,5e-06
50.0,50.0,10.0,2.0,0.5,1.5,1.5e-05
23.5,29.5,1.5,0.5,1.0,1.0,2e-05
18.5,39.0,6.5,2.0,1.5,1.5,1.5e-05
2.5,36.0,40.5,0.5,1.5,1.5,1e-05
23.0,2.0,28.0,1.5,1.5,2.0,1.5e-05
13.5,19.5,4.5,1.0,1.0,2.0,1e-05
29.5,13.5,15.5,1.5,1.0,1.0,1.5e-05
33.5,7.0,14.5,2.0,1.0,0.5,1e-05
7.0,27.0,9.0,1.0,2.0,2.0,2e-05
23.5,29.5,35.0,1.0,1.0,1.5,1.5e-05
41.5,34.0,26.0,1.0,1.0,1.0,1e-05
47.0,2.5,34.0,1.5,0.5,1.5,5e-06
30.5,39.5,4.5,0.5,1.0,1.5,1e-05
5.5,17.5,30.5,1.5,1.5,1.0,5e-06
9.5,13.0,45.0,1.0,0.5,1.5,1e-05
1.0,26.5,36.5,1.5,1.0,0.5,2e-05
9.5,21.0,18.5,1.5,0.5,1.0,1.5e-05
33.5,12.5,48.0,1.0,0.5,1.5,5e-06
37.5,27.5,14.5,2.0,0.5,1.0,1e-05
17.0,12.5,11.5,1.0,1.5,1.0,1.5e-05
4.0,10.5,3.5,1.0,1.0,1.0,2e-05
42.5,45.5,49.5,2.0,1.5,1.0,1e-05
1.5,23.5,45.0,1.0,2.0,0.5,1e-05
25.5,17.0,37.0,1.5,2.0,2.0,2e-05
30.0,42.0,15.0,1.5,0.5,0.5,1e-05
1.5,7.0,26.5,1.5,1.0,1.0,1.5e-05
40.0,16.0,19.5,1.0,1.0,1.5,1.5e-05
29.5,47.0,20.0,1.0,1.5,1.0,5e-06
19.0,38.5,42.5,1.0,1.0,1.5,1.5e-05
12.0,32.5,7.5,1.5,1.0,1.0,5e-06
30.5,11.5,6.0,1.5,1.5,1.0,2e-05
22.5,15.0,35.0,2.0,1.5,1.5,1e-05
38.5,41.0,13.5,1.0,1.5,1.0,1e-05
6.5,9.0,22.5,1.0,2.0,2.0,1e-05
46.0,29.0,22.5,1.0,1.0,2.0,5e-06
35.5,28.5,16.0,0.5,1.5,0.5,1.5e-05
37.0,21.0,6.0,0.5,1.0,1.0,1.5e-05
31.5,26.0,13.5,1.5,1.0,1.5,1e-05
43.0,38.5,25.5,2.0,2.0,0.5,1e-05
26.5,11.5,9.0,1.0,1.0,1.0,1.5e-05
22.5,16.5,11.5,1.0,2.0,1.0,5e-06
30.5,5.0,19.5,2.0,1.0,1.0,1e-05
32.5,26.5,22.5,0.5,1.0,1.5,1.5e-05
49.5,22.5,34.5,1.0,0.5,1.5,1.5e-05
28.5,17.0,18.0,1.0,0.5,0.5,1.5e-05
13.0,5.5,30.5,0.5,1.0,1.0,1e-05
17.0,20.5,49.0,2.0,0.5,1.0,1.5e-05
27.5,46.5,36.5,1.5,0.5,1.5,1e-05
25.0,43.0,28.0,1.0,1.5,1.0,1.5e-05
42.5,34.0,12.0,1.0,1.0,2.0,5e-06
18.5,19.0,47.0,1.0,1.0,1.5,1e-05
