w1,w2,w3,w4,w5,l1,l2,l3,l4,l5,cc,cr,ibias
1.0,10.5,20.5,38.5,32.5,1.5,2.0,2.0,1.0,1.0,1.9e-12,78500.0,2e-05
44.5,48.5,39.0,42.5,46.0,1.0,1.5,1.5,2.0,1.0,1.7e-12,74500.0,1e-05
26.0,3.5,29.5,24.0,22.5,1.0,2.0,1.0,1.0,1.0,7e-13,91500.0,1e-05
5.0,37.5,17.0,14.0,15.5,0.5,1.5,1.0,1.5,2.0,1.9e-12,44500.0,1e-05
14.0,47.5,23.0,28.5,18.0,2.0,0.5,1.0,1.0,0.5,2e-13,32000.0,2e-05
25.0,25.0,31.0,27.0,24.0,0.5,1.0,1.5,1.5,0.5,1e-13,89500.0,2e-05
36.5,44.5,27.0,21.5,43.0,1.0,2.0,0.5,1.5,1.5,9e-13,22500.0,2e-05
19.0,2.5,6.5,20.0,4.5,1.5,1.5,1.0,2.0,1.5,1.3e-12,58000.0,1e-05
18.5,6.0,16.0,2.5,31.0,1.5,1.0,1.0,1.0,1.0,1.8e-12,73000.0,1e-05
11.0,27.0,29.0,22.0,47.5,1.5,0.5,1.5,1.5,1.0,1e-12,50000.0,1e-05
12.5,13.0,2.0,4.0,30.5,1.5,1.0,0.5,1.0,1.5,1.6e-12,82500.0,1e-05
15.0,24.0,40.5,48.0,16.5,1.0,2.0,1.0,1.0,2.0,2e-12,20500.0,1e-05
16.0,17.5,3.0,23.0,8.5,0.5,1.0,2.0,1.5,1.5,1.6e-12,98500.0,1e-05
17.5,43.5,18.0,36.5,16.5,2.0,0.5,2.0,2.0,1.5,6e-13,59500.0,2e-05
7.5,16.0,14.0,17.5,44.0,0.5,1.0,2.0,1.5,2.0,1.1e-12,62500.0,2e-05
39.5,45.5,12.5,5.0,21.5,2.0,1.0,1.5,1.0,1.0,1.4e-12,32500.0,2e-05
45.5,33.0,44.5,25.0,24.5,2.0,0.5,1.5,1.0,0.5,8e-13,14500.0,1e-05
50.0,35.5,47.5,16.5,6.0,1.5,1.0,1.0,2.0,1.5,1e-12,85500.0,1e-05
37.5,30.5,43.5,38.0,46.5,1.5,0.5,1.0,1.5,2.0,1.5e-12,27000.0,2e-05
13.5,26.0,41.5,41.0,11.0,1.0,1.5,1.0,0.5,1.5,1.3e-12,3000.0,2e-05
10.0,18.0,34.0,6.5,39.5,1.5,1.5,0.5,0.5,2.0,1.4e-12,51500.0,1e-05
24.5,5.5,35.0,46.0,29.0,2.0,1.5,1.0,1.5,1.0,5e-13,19500.0,1e-05
3.5,34.5,39.5,11.0,44.0,1.5,2.0,2.0,1.0,1.5,5e-13,30000.0,2e-05
33.5,22.5,2.0,9.0,19.0,0.5,1.0,0.5,2.0,1.0,7e-13,38000.0,1e-05
8.5,41.5,26.0,26.0,28.0,1.0,1.5,2.0,1.5,1.0,3e-13,72000.0,2e-05
6.0,30.0,27.5,49.5,9.5,1.0,1.0,1.0,1.5,1.5,8e-13,82000.0,1e-05
22.0,7.5,49.5,33.0,22.5,1.0,1.5,0.5,0.5,0.5,1.8e-12,26000.0,1e-05
42.5,2.0,7.5,44.5,11.0,1.0,0.5,1.5,1.5,1.0,9e-13,96000.0,1e-05
32.5,14.5,15.0,19.5,32.5,2.0,1.0,1.5,1.0,1.5,6e-13,94000.0,1e-05
27.5,36.5,47.0,1.0,35.5,0.5,1.5,2.0,0.5,0.5,4e-13,66500.0,2e-05
23.0,19.5,20.0,41.5,3.0,1.0,1.5,1.5,1.0,0.5,4e-13,52500.0,2e-05
34.5,19.5,36.0,46.5,41.0,1.0,1.0,1.5,1.5,1.0,5e-13,48000.0,1e-05
36.0,33.5,5.5,29.5,27.0,2.0,2.0,1.0,2.0,1.5,1.6e-12,94500.0,1e-05
20.5,42.5,25.0,32.0,39.0,1.5,0.5,2.0,1.5,0.5,1.1e-12,17500.0,2e-05
44.0,29.0,33.0,49.0,34.0,1.5,2.0,1.5,1.0,1.0,7e-13,65000.0,1e-05
2.0,12.0,45.5,3.5,38.0,1.5,1.5,1.5,2.0,1.5,2e-13,76500.0,1e-05
48.0,8.5,32.0,18.5,2.0,1.5,1.5,1.0,1.0,1.5,8e-13,2500.0,2e-05
27.5,21.0,8.5,15.0,49.0,1.0,1.5,0.5,1.5,1.5,1.3e-12,61000.0,1e-05
31.0,32.5,22.5,29.0,12.5,1.0,1.0,1.0,0.5,1.5,1.2e-12,88000.0,2e-05
30.0,5.0,9.0,7.5,37.0,1.0,2.0,1.5,2.0,1.0,1.5e-12,11500.0,2e-05
4.5,41.0,11.5,12.0,14.0,1.5,1.0,1.0,1.5,1.5,2e-13,15500.0,1e-05
9.5,46.5,23.5,34.0,7.0,2.0,1.0,2.0,0.5,0.5,1.7e-12,35500.0,2e-05
41.5,9.5,19.5,13.5,6.0,0.5,0.5,0.5,1.0,1.0,1.5e-12,43000.0,2e-05
28.5,39.5,13.5,43.5,49.0,1.5,1.5,1.5,0.5,2.0,1e-12,9500.0,1e-05
38.5,11.0,4.0,36.0,34.5,0.5,1.5,1.0,1.0,0.5,1.2e-12,38500.0,2e-05
33.5,14.5,10.0,35.0,26.0,1.5,0.5,0.5,1.0,2.0,4e-13,8000.0,2e-05
40.5,22.0,42.5,10.0,40.5,1.0,1.0,1.5,1.5,1.0,3e-13,55000.0,2e-05
